"county","STATE CODE (FIPS)","PUMA code from 1990 5% (A) Sample","State Postal Code","cntyname","fplace80","plac80nm","1990 POP","county to apuma allocation factor"
"01001","01","01500","AL","Autauga AL"," "," ",34222,1 
"01003","01","00800","AL","Baldwin AL"," "," ",98280,1 
"01005","01","01100","AL","Barbour AL"," "," ",25417,1 
"01007","01","00300","AL","Bibb AL"," "," ",16576,1 
"01009","01","02100","AL","Blount AL"," "," ",39248,1 
"01011","01","01000","AL","Bullock AL"," "," ",11042,1 
"01013","01","01000","AL","Butler AL"," "," ",21892,1 
"01015","01","01900","AL","Calhoun AL"," "," ",116034,1 
"01017","01","01400","AL","Chambers AL"," "," ",36876,1 
"01019","01","02000","AL","Cherokee AL"," "," ",19543,1 
"01021","01","01500","AL","Chilton AL"," "," ",32458,1 
"01023","01","00600","AL","Choctaw AL"," "," ",16018,1 
"01025","01","00600","AL","Clarke AL"," "," ",27240,1 
"01027","01","01600","AL","Clay AL"," "," ",13252,1 
"01029","01","01600","AL","Cleburne AL"," "," ",12730,1 
"01031","01","00900","AL","Coffee AL"," "," ",40240,1 
"01033","01","00100","AL","Colbert AL"," "," ",51666,1 
"01035","01","00600","AL","Conecuh AL"," "," ",14054,1 
"01037","01","01400","AL","Coosa AL"," "," ",11063,1 
"01039","01","00900","AL","Covington AL"," "," ",36478,1 
"01041","01","01000","AL","Crenshaw AL"," "," ",13635,1 
"01043","01","02100","AL","Cullman AL"," "," ",67613,1 
"01045","01","01100","AL","Dale AL"," "," ",49633,1 
"01047","01","00500","AL","Dallas AL"," "," ",48130,1 
"01049","01","02200","AL","DeKalb AL"," "," ",54651,1 
"01051","01","01500","AL","Elmore AL"," "," ",49210,1 
"01053","01","00800","AL","Escambia AL"," "," ",35518,1 
"01055","01","02000","AL","Etowah AL"," "," ",99840,1 
"01057","01","00300","AL","Fayette AL"," "," ",17962,1 
"01059","01","00200","AL","Franklin AL"," "," ",27814,1 
"01061","01","00900","AL","Geneva AL"," "," ",23647,1 
"01063","01","00300","AL","Greene AL"," "," ",10153,1 
"01065","01","00300","AL","Hale AL"," "," ",15498,1 
"01067","01","01100","AL","Henry AL"," "," ",15374,1 
"01069","01","01100","AL","Houston AL"," "," ",81331,1 
"01071","01","02200","AL","Jackson AL"," "," ",47796,1 
"01073","01","01801","AL","Jefferson AL"," "," ",121643,0.187 
"01073","01","01802","AL","Jefferson AL"," "," ",116985,0.18 
"01073","01","01803","AL","Jefferson AL"," "," ",102423,0.157 
"01073","01","01804","AL","Jefferson AL"," "," ",102556,0.157 
"01073","01","01805","AL","Jefferson AL"," "," ",103424,0.159 
"01073","01","01806","AL","Jefferson AL"," "," ",104494,0.16 
"01075","01","00300","AL","Lamar AL"," "," ",15715,1 
"01077","01","00100","AL","Lauderdale AL"," "," ",79661,1 
"01079","01","02400","AL","Lawrence AL"," "," ",31513,1 
"01081","01","01200","AL","Lee AL"," "," ",87146,1 
"01083","01","02300","AL","Limestone AL"," "," ",54135,1 
"01085","01","01000","AL","Lowndes AL"," "," ",12658,1 
"01087","01","01000","AL","Macon AL"," "," ",24928,1 
"01089","01","02300","AL","Madison AL"," "," ",238912,1 
"01091","01","00500","AL","Marengo AL"," "," ",23084,1 
"01093","01","00300","AL","Marion AL"," "," ",29830,1 
"01095","01","02200","AL","Marshall AL"," "," ",70832,1 
"01097","01","00700","AL","Mobile AL"," "," ",378643,1 
"01099","01","00600","AL","Monroe AL"," "," ",23968,1 
"01101","01","01300","AL","Montgomery AL"," "," ",209085,1 
"01103","01","02400","AL","Morgan AL"," "," ",100043,1 
"01105","01","00500","AL","Perry AL"," "," ",12759,1 
"01107","01","00300","AL","Pickens AL"," "," ",20699,1 
"01109","01","01000","AL","Pike AL"," "," ",27595,1 
"01111","01","01400","AL","Randolph AL"," "," ",19881,1 
"01113","01","01200","AL","Russell AL"," "," ",46860,1 
"01115","01","01700","AL","St. Clair AL"," "," ",50009,1 
"01117","01","01700","AL","Shelby AL"," "," ",99358,1 
"01119","01","00500","AL","Sumter AL"," "," ",16174,1 
"01121","01","01600","AL","Talladega AL"," "," ",74107,1 
"01123","01","01400","AL","Tallapoosa AL"," "," ",38826,1 
"01125","01","00400","AL","Tuscaloosa AL"," "," ",150522,1 
"01127","01","00200","AL","Walker AL"," "," ",67670,1 
"01129","01","00600","AL","Washington AL"," "," ",16694,1 
"01131","01","00600","AL","Wilcox AL"," "," ",13568,1 
"01133","01","00200","AL","Winston AL"," "," ",22053,1 
"02013","02","00300","AK","Aleutians East Borough AK"," "," ",2464,1 
"02016","02","00300","AK","Aleutians West Census Area AK"," "," ",9478,1 
"02020","02","00101","AK","Anchorage Borough AK"," "," ",109196,0.482 
"02020","02","00102","AK","Anchorage Borough AK"," "," ",117142,0.518 
"02050","02","00300","AK","Bethel Census Area AK"," "," ",13656,1 
"02060","02","00300","AK","Bristol Bay Borough AK"," "," ",1410,1 
"02070","02","00300","AK","Dillingham Census Area AK"," "," ",4012,1 
"02090","02","00200","AK","Fairbanks North Star Borough AK"," "," ",77720,1 
"02100","02","00300","AK","Haines Borough AK"," "," ",2117,1 
"02110","02","00200","AK","Juneau Borough AK"," "," ",26751,1 
"02122","02","00200","AK","Kenai Peninsula Borough AK"," "," ",40802,1 
"02130","02","00200","AK","Ketchikan Gateway Borough AK"," "," ",13828,1 
"02150","02","00300","AK","Kodiak Island Borough AK"," "," ",13309,1 
"02164","02","00300","AK","Lake and Peninsula Borough AK"," "," ",1668,1 
"02170","02","00200","AK","Matanuska-Susitna Borough AK"," "," ",39683,1 
"02180","02","00300","AK","Nome Census Area AK"," "," ",8288,1 
"02185","02","00300","AK","North Slope Borough AK"," "," ",5979,1 
"02188","02","00300","AK","Northwest Arctic Borough AK"," "," ",6113,1 
"02201","02","00300","AK","Prince of Wales-Outer Ketchikan Census AK"," "," ",6278,1 
"02220","02","00200","AK","Sitka Borough AK"," "," ",8588,1 
"02231","02","00300","AK","Skagway-Yakutat-Angoon Census Area AK (D)"," "," ",4385,1 
"02240","02","00300","AK","Southeast Fairbanks Census Area AK"," "," ",5913,1 
"02261","02","00300","AK","Valdez-Cordova Census Area AK"," "," ",9952,1 
"02270","02","00300","AK","Wade Hampton Census Area AK (D)"," "," ",5791,1 
"02280","02","00300","AK","Wrangell-Petersburg Census Area AK"," "," ",7042,1 
"02290","02","00300","AK","Yukon-Koyukuk Census Area AK"," "," ",8478,1 
"04001","04","00600","AZ","Apache AZ"," "," ",61591,1 
"04003","04","00800","AZ","Cochise AZ"," "," ",97624,1 
"04005","04","00500","AZ","Coconino AZ"," "," ",96591,1 
"04007","04","00700","AZ","Gila AZ"," "," ",40216,1 
"04009","04","00800","AZ","Graham AZ"," "," ",26554,1 
"04011","04","00800","AZ","Greenlee AZ"," "," ",8008,1 
"04012","04","00300","AZ","La Paz AZ"," "," ",13844,1 
"04013","04","00101","AZ","Maricopa AZ"," "," ",124984,0.059 
"04013","04","00102","AZ","Maricopa AZ"," "," ",109175,0.051 
"04013","04","00103","AZ","Maricopa AZ"," "," ",126960,0.06 
"04013","04","00104","AZ","Maricopa AZ"," "," ",125406,0.059 
"04013","04","00105","AZ","Maricopa AZ"," "," ",122332,0.058 
"04013","04","00106","AZ","Maricopa AZ"," "," ",128910,0.061 
"04013","04","00107","AZ","Maricopa AZ"," "," ",122494,0.058 
"04013","04","00108","AZ","Maricopa AZ"," "," ",127298,0.06 
"04013","04","00109","AZ","Maricopa AZ"," "," ",103669,0.049 
"04013","04","00110","AZ","Maricopa AZ"," "," ",100365,0.047 
"04013","04","00111","AZ","Maricopa AZ"," "," ",153738,0.072 
"04013","04","00112","AZ","Maricopa AZ"," "," ",165811,0.078 
"04013","04","00113","AZ","Maricopa AZ"," "," ",147881,0.07 
"04013","04","00114","AZ","Maricopa AZ"," "," ",202836,0.096 
"04013","04","00115","AZ","Maricopa AZ"," "," ",120693,0.057 
"04013","04","00116","AZ","Maricopa AZ"," "," ",139549,0.066 
"04015","04","00300","AZ","Mohave AZ"," "," ",93497,1 
"04017","04","00600","AZ","Navajo AZ"," "," ",77658,1 
